user_id,Username,anime_id,Anime Title,rating
711197,soundjester,2001.0,Tengen Toppa Gurren Lagann,9.0
90309,kperez,243.0,Gravitation,10.0
358562,balmelli,856.0,Utawarerumono,7.0
49386,Fantan,1482.0,D.Gray-man,10.0
96272,Saiyukire,4618.0,RideBack,9.0
40231,flaskis,4027.0,Makai Tenshi Djibril: Episode 2,7.0
4615,Syk,372.0,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,7.0
523407,YandereKitsu,8425.0,Gosick,9.0
423998,BakaMoka,2144.0,Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panic Dattebayo!,8.0
43115,Steelix,21881.0,Sword Art Online II,9.0
7867,zeni,3467.0,Nogizaka Haruka no Himitsu,6.0
485906,Scorpio317,8630.0,Hidan no Aria,7.0
503840,Megaboy335,21339.0,Psycho-Pass Movie,8.0
507323,meiwaku,123.0,Fushigi Yuugi,8.0
100031,Nachbar,8676.0,Amagami SS,6.0
795477,Deathomorphine,8449.0,Togainu no Chi,5.0
5449,seraphire,1498.0,Black Blood Brothers,7.0
466467,ECV,19.0,Monster,8.0
38459,PureMizu,200.0,Tenshi na Konamaiki,3.0
70005,Mimiko,25687.0,Digimon Adventure tri. 1: Saikai,7.0
299488,Shattered_Angel,438.0,Phantom The Animation,4.0
533845,bobthegldfsh,32370.0,D.Gray-man Hallow,6.0
361302,bobcat946732,20.0,Naruto,8.0
487207,KoIzumi24,32281.0,Kimi no Na wa.,10.0
358778,tao_motoko,8247.0,Bleach Movie 4: Jigoku-hen,8.0
39175,starkindler,594.0,Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,5.0
45220,Rege,897.0,Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,4.0
406839,daddycool,5114.0,Fullmetal Alchemist: Brotherhood,9.0
83117,SELFLESS,1004.0,Kanojo to Kanojo no Neko,10.0
405342,raiy0,1.0,Cowboy Bebop,10.0
40394,Darkling,565.0,Steamboy,10.0
100009,Rhythme,3958.0,Kannagi,8.0
971727,Rondine,464.0,One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima,6.0
56357,Omamori,1220.0,Hoshizora Kiseki,7.0
526215,oubess,535.0,Slayers Next,10.0
392000,Deaf-mutes,1045.0,Elf wo Karu Mono-tachi,8.0
317770,DesiOtaku,477.0,Aria the Animation,3.0
323741,Rigby85,14467.0,K,7.0
83349,Krautertee,90.0,Shin Kidou Senki Gundam Wing,6.0
37533,PrincessSerenity,2904.0,Code Geass: Hangyaku no Lelouch R2,7.0
65964,tarani,10396.0,Ben-To,10.0
335948,iina,334.0,Marmalade Boy,8.0
370036,mrwiihe,7311.0,Suzumiya Haruhi no Shoushitsu,9.0
101745,some1,6573.0,Darker than Black: Ryuusei no Gemini,8.0
539545,palmon,2490.0,One Piece: Mezase! Kaizoku Yakyuu Ou,8.0
397224,RadicalEdwardo,1699.0,Romeo x Juliet,7.0
488239,Soulinekk,1735.0,Naruto: Shippuuden,3.0
560521,Crashzilla,35790.0,Tate no Yuusha no Nariagari,8.0
116929,xecty,442.0,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,7.0
566311,alec613,40454.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,8.0
502303,MonkOnLSD,202.0,Wolf's Rain,8.0
331840,tkpro55,2514.0,Detective Conan OVA 04: Conan and Kid and Crystal Mother,10.0
498408,Kyozetsu,6880.0,Deadman Wonderland,8.0
98714,Hyoga,6702.0,Fairy Tail,7.0
1095839,SunWukung,35248.0,18if,7.0
53853,Stewart,1546.0,Negima!?,6.0
484856,slivvafet,13093.0,Nazo no Kanojo X: Nazo no Natsu Matsuri,5.0
409039,Beneblade,31637.0,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",8.0
793895,9503606,521.0,Mermaid Melody Pichi Pichi Pitch,9.0
569201,Whenever,10397.0,Mashiro-iro Symphony: The Color of Lovers,5.0
608919,MonkeyMajyk,482.0,Yu☆Gi☆Oh! Duel Monsters GX,8.0
515459,akhpower,21881.0,Sword Art Online II,8.0
470739,Fluffles91,2034.0,Lovely★Complex,6.0
58617,shadowken9,12291.0,Acchi Kocchi,8.0
87530,TehSpooks,908.0,Fullmetal Alchemist: Premium Collection,8.0
953051,Mocutsart,10719.0,Boku wa Tomodachi ga Sukunai,7.0
464184,erinrin,10719.0,Boku wa Tomodachi ga Sukunai,8.0
15349,Dissidia,27.0,Trinity Blood,7.0
117118,Paraclet,1519.0,Black Lagoon: The Second Barrage,10.0
486773,MathZinhOu,4437.0,Naruto: Shippuuden Movie 2 - Kizuna,8.0
416994,Michael499_Bro,5733.0,Okusama wa Joshikousei,5.0
290410,MinoruMKII,376.0,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",6.0
311677,Xswede,936.0,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,8.0
67498,sciwhiz,31339.0,Drifters,7.0
320740,westeeze,10793.0,Guilty Crown,8.0
454867,kuno86,1554.0,Asatte no Houkou.,8.0
361582,MindCalamity,579.0,Battle Programmer Shirase,10.0
12542,wrzosek,25389.0,"Dragon Ball Z Movie 15: Fukkatsu no ""F""",8.0
308535,Puk,4186.0,Chrome Shelled Regios,8.0
36199,KingAuracite,1292.0,Afro Samurai,10.0
517003,JJshenpai,71.0,Full Metal Panic!,9.0
422396,Poned,5.0,Cowboy Bebop: Tengoku no Tobira,7.0
724971,ARcan26,20509.0,Fate/kaleid liner Prisma☆Illya 2wei!,6.0
293369,c0oky,6500.0,Seikon no Qwaser,8.0
379204,tesstrossa,5342.0,Asura Cryin',10.0
494883,Disanyan,18617.0,Girls & Panzer Movie,6.0
60426,Robi182,54.0,Appleseed (Movie),8.0
320271,DiegoCCamara,1119.0,Pokemon Movie 04: Celebi Toki wo Koeta Deai,6.0
471813,Kyubinoyoko,11741.0,Fate/Zero 2nd Season,10.0
1059861,corgimaru,2001.0,Tengen Toppa Gurren Lagann,9.0
511708,moonspeaks,2904.0,Code Geass: Hangyaku no Lelouch R2,9.0
473866,tay_ni_,6033.0,Dragon Ball Kai,7.0
1003943,AnimeLoverUk,49.0,Aa! Megami-sama!,7.0
23579,Nashiyo,62.0,D.C.: Da Capo,6.0
469213,Lolwolf,33486.0,Boku no Hero Academia 2nd Season,9.0
445279,kittykaiyou,6547.0,Angel Beats!,9.0
405963,ellbugbug,587.0,Hanbun no Tsuki ga Noboru Sora,8.0
21639,tj_han,846.0,School Rumble Ni Gakki,8.0
340776,miss_harohi7,2570.0,Ochame na Futago: Claire Gakuin Monogatari,10.0
492595,wakamurasaki,1719.0,Rozen Maiden: Ouvertüre,10.0
37191,charamba,813.0,Dragon Ball Z,8.0
29223,Grandmaster,1182.0,Shamanic Princess,7.0
72719,ukie,590.0,Kage kara Mamoru!,6.0
55564,BS,223.0,Dragon Ball,8.0
31737,Karakata123,12365.0,Bakuman. 3rd Season,8.0
1114037,KawaiiSlowpoke,23755.0,Nanatsu no Taizai,8.0
315704,Blackflame11,4752.0,Vampire Knight Guilty,8.0
502234,Jonij001,20899.0,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.0
483525,Niceye,20021.0,Sword Art Online: Extra Edition,6.0
37838,Meda,304.0,Aa! Megami-sama! Movie,8.0
334446,PlaGuE_R,11785.0,Haiyore! Nyaruko-san,8.0
303681,LeColonel,1726.0,Devil May Cry,6.0
38078,xtwilightzx,5341.0,Ookami to Koushinryou II,8.0
1116459,testotesto,3652.0,Higurashi no Naku Koro ni Rei,8.0
57646,Scarab,238.0,Rekka no Honoo,8.0
499215,randomcrit,38524.0,Shingeki no Kyojin Season 3 Part 2,7.0
41372,Angrahius,226.0,Elfen Lied,8.0
459477,Padem,1722.0,Nagasarete Airantou,6.0
1004313,midnightmurder,9253.0,Steins;Gate,9.0
509813,eighteenthlove,4898.0,Kuroshitsuji,9.0
440053,Amane8009,2889.0,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,8.0
737617,dinkyfart,2167.0,Clannad,10.0
533503,camperonyx,4196.0,Ikkitousen: Great Guardians,8.0
333353,Big_M,790.0,Ergo Proxy,10.0
464923,Turpinpower,226.0,Elfen Lied,4.0
515369,Edmania,6547.0,Angel Beats!,8.0
413700,OnlyDoll,4752.0,Vampire Knight Guilty,6.0
683111,hikikomorikills,934.0,Higurashi no Naku Koro ni,8.0
78548,avril13,10087.0,Fate/Zero,7.0
345797,Csamacs,4181.0,Clannad: After Story,10.0
539891,tergon,12679.0,Joshiraku,7.0
896857,Tarcioch,24991.0,No Game No Life Specials,5.0
